"Arda Geography","5","The three peaks of the Misty Mountains under which Khazad Dum lies are Zirak-Zigil, Fanuidhiol, and what?","Caradhras","Amon Din","Calenhad","Min-Rimmon"
"Arda Geography","7","What lies south of the East Road, East of the White Downs, and North of the Southfarthing?","Tookland","Buckland","The Marish","Bridgefields"
"Arda Geography","9","What is the belt of Arda?","The equator","Aragorn's belt","A river in the east","A constellation"
"Arda Geography","9","What land lies west of the Misty Mountains, and north of Rivendell?","Ettenmoors","Breeland","Hollin","Gladden Fields"
"Arda Geography","10","What was near the Cirith Ungol?","Minas Morgul","Ithilien","Osgiliath","Black Gate"
"Arda Geography","10","What is the western mountains of Mordor?","Ephel Duath","Minas Morgul","Cirith Ungol","Cirith Gorgor"
"Arda Geography","10","What is the mountain range in the north of Mordor?","Ash mountains","Ephel Duath","Morannon","Caradhras"
"Arda Geography","10","What is the name of the ten-mile stretch of The Shire that lay just to the west of the Brandywine River north of the East Road?","Bridgefields","Tookland","The Woody End","Buckland"
"Arda Geography","11","What was known as 'The Land of Gift'?","Numenor","Tol Eressëa","Lothlórien","Valinor"
"Arda Geography","12","How many continents does Arda have in the 3rd age?","5","4","6","7"
"Arda Geography","12","Which continent lay to the west of Arda?","Aman","Middle Earth","Numenor","Dark Country"
"Arda Geography","12","Which continent lay to the east of Arda?","Land of the Sun","Aman","Numenor","Dark Country"
"Arda Geography","12","Which continent was in the south of Arda?","Dark Country","Aman","Numenor","Middle Earth"
"Arda Geography","12","How many layers of air did Arda have?","3","4","2","5"
"Extended Lore","12","What was Tolkien's original name for Pippin?","Odo","Harlow","Fredo","Tim"
"Extended Lore","12","What did Tolkien originally nickname Aragorn, replacing it with Strider only after completing the story?","Trotter","Swiftfoot","Roamer","Prowler"
"Extended Lore","12","How is Harad ruled?","It consists of many tribes","By a king","By a democracy","It consists of many tribes with one Overlord"
"Extended Lore","12","What are the inhabitants of Khand called?","Variags","Wainriders","Easterlings","Haradrim"
"Extended Lore","12","When Gandalf returns from death, he says that the world is gnawed by nameless things who live far below the deepest delving of the Dwarves. When and by whom were they most likely created?","They were made by Melkor when he corrupts Erus song","They were made by Sauron","The were made by Morgoth to fight the free peoples of Middle Earth","They were made by Melkor in Valinor when he hid his true plans to the Valar"
"Extended Lore","12","What happened to Saruman after he died?","He was not allowed to return to Valinor","He was allowed to return to Valinor","He came back in another color","He never died"
"Extended Lore","12","Which of these locations **never** held a Palantir?","Dol Amroth","The Tower of Amon Sûl","Fornost","Osgiliath"
