"The Silmarillion","Arnor was divided into which parts?","Dunedain Territory + Eriador + Northern Ranger Territory","Arthedain + Cardolan + Telcontar","Rhudaur + Telcontar + Eriador","*Arthedain + Cardolan + Rhudaur"
"The Silmarillion","To whom sweared Feanor he would not stop before he gets the Silmaril back?","*Eru Ilúvatar","Manwe","Ulmo","Morgoth"
"The Silmarillion","What were Melkors feelings towards Ungoliant after the two trees perished?","Anger","Glee (he does not plan to reward her)","*Fear","Superiority"
"The Silmarillion","Sauron was...?","*The highest servant of Melkor and therefore a Maia","An Ainur","The master of Melkor after his downfall","A Maia of Manwe"
"The Silmarillion","The most dangerous part of a dragon would be...","His claws","His breath","His swag","*His eyes"
"The Silmarillion","Mim was a treacherous...?","*dwarf","man","orc","elf"
"The Silmarillion","Which one of the following are both made by Ainur and are both not children of Eru?","Balrog + Easterling","Orc + Variag","Gandalf + Southron","*Dwarf + Melian"
"The Silmarillion","What was the name of the Elf that slayed the Balrog after the Fall of Gondolin?","*Glorfindel","Turgon","Ecthelion","Feanor"
"The Silmarillion","Who or what is the Helcaraxe?","The dark valley Ungoliant lived in before killing the trees","The mountain the witchking was buried in","*An icy waste north of Middle-Earth","A group of fallen Maiar that served Morgoth in Middle-Earth"
"The Silmarillion","What was Gandalfs name in Valinor?","*Olorin","Mithrandir","Tharkun","Incanus"
"The Silmarillion","What is the name of the mountain chain raised in Aman to defend against the evils of Melkor?","*The Pelori", "Ered Luin", "Ephel Dúath", "Ered Gorgoroth"
"The Silmarillion","This tallest peak of the Pelori mountains in Arda is where the mansions of Manwe and Varda stood.","*Taniquetil", "Ezellohar", "Tol Eressëa" "Taur-Nu-Fuin"
"The Silmarillion","What was the name of the mountain hall of Manwe and Varda, the king and queen of the Valar, in Aman?","*Ilmarin", "Taniquetil", "Oiolossë", "Amon Uilos"
"The Silmarillion","Where did Durin awake in the first age","*Mount Gundabad", "Methedras", "Caradhras", "Mount Rerir"
"The Silmarillion","Who founded the city of Annuminas?","*Elendil", "Eärendil", "Isildur", "Anarion"
"The Silmarillion","Where was Isildur, son of Elendil, born?","*Numenor", "Minas Ithil", "Minas Anor", "Osgiliath"
"The Silmarillion,"What was known as The Land of Gift"?","*Numenor", "Tol Eressëa", "Lothlorien", "Valinor"
"The Silmarillion","What did the Elves call the three houses of men who first came to Beleriand?","*Edain", "Calaquendi", "Moriquendi", "Avari"
"The Silmarillion","What are all Elves called who have never seen the light of the Two Trees of Valinor?","*Moriquendi", "Calaquendi", "Úmanyar", "Avari"
"The Silmarillion","Who was the first marriage of an immortal elf and a human between?","*Beren and Luthien", "Aragorn and Arwen", "Tuor and Idril", "Elwing and Eärendil"
"Extended Lore","How is Harad ruled?","By a king","By a democracy","*It consists of many tribes","It consists of many tribes with one Overlord"
"Extended Lore","What are the inhabitants of Khand called?","Wainriders","*Variags","Easterlings","Haradrim"
"Extended Lore","When Gandalf returns from death, he says that the world is gnawed by nameless things who live far below the deepest delving of the Dwarves. When and by whom were they most likely created?","They were made by Sauron","The were made by Morgoth to fight the free peoples of Middle Earth","They were made by Melkor in Valinor when he hid his true plans to the Valar","*They were made by Melkor when he corrupts Erus song"
"Extended Lore","What happened to Saruman after he died?","He was allowed to return to Valinor","He came back in another color","He never died","*He was not allowed to return to Valinor"
"Extended Lore","Which of these locations **never** held a Palantir?","*Dol Amroth","The Tower of Amon Sûl","Fornost","Osgiliath"
"Extended Lore","Gandalf, Radagast, and Saruman. What are the names of the remaining two Blue Wizards of Middle Earth?","*Morinehtar and Romestamo","Curumir and Mithrandir","Alatar and Sangahyando","Gaerdring and Tulkas"
"Extended Lore","What does \"Uruk Hai\" mean?","*Orc Folk","Corrupted Elves","The Unmerciful","The Fell People"
"Extended Lore","What sword/dagger was used by Beren to pry a Silmaril from the crown of Morgoth?","*Angrist","Orcrist","Gurthang","Ringil"
"Extended Lore","Who betrayed the location of Gondolin?","*Maeglin","Idril","Turin","Hurin"
"Extended Lore","What does Caras Galadhon mean?","*Fortress of Trees", "Redhorn", "Highest Peak", "Fortress of Stone"
"Extended Lore","What was the ancient name of Caras Galadhon?","*Nelennas", "Hithaeglir", "Laurelindórenan", "Celebrant"
"Extended Lore","What does Enedwaith mean, in Sindarin?","*Middle-Region", "Desolate Land", "Great Plain", "Lowlands"
